,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Sex,Occupation,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cyprus,Male (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,23,22,22,23,27,25,21,20,21,19,20,22,21
Cyprus,Male (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,114,119,119,111,109,111,102,97,94,95,99,100,108
Cyprus,Male (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,60,64,67,66,70,70,74,69,66,66,65,69,74
Cyprus,Male (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,200,209,212,205,209,209,202,190,185,184,188,198,210
Cyprus,Male (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,3,4,4,4,3,4,3,4,4,4,4,6,8
Cyprus,Female (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,36,34,36,38,43,46,44,40,39,38,33,32,32
Cyprus,Female (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,76,83,81,86,86,79,79,75,74,76,80,84,88
Cyprus,Female (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,44,51,53,53,57,65,61,60,64,60,62,65,69
Cyprus,Female (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,157,168,171,178,186,189,184,175,178,175,175,182,191
Cyprus,Female (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,0,1,1,1,1,0,0,0,1,1,0,1,1
Czech Republic,Total (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,269,261,270,265,246,263,261,275,270,281,284,277,287
Czech Republic,Total (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,2647,2676,2690,2602,2636,2805,2787,2779,2804,2852,2899,2944,2980
Czech Republic,Total (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,1894,1970,2025,2052,1988,1788,1824,1866,1883,1895,1940,1983,2011
Czech Republic,Total (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,4828,4922,5003,4934,4885,4873,4890,4937,4974,5042,5139,5222,5294
Czech Republic,Total (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,18,15,17,15,16,16,18,17,18,15,15,18,15
Czech Republic,Male (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,111,116,118,112,98,90,97,106,103,108,99,101,109
Czech Republic,Male (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,1644,1663,1691,1645,1651,1689,1672,1646,1674,1695,1710,1719,1735
Czech Republic,Male (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,972,1014,1038,1053,1035,984,994,1026,1024,1021,1055,1080,1088
Czech Republic,Male (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,2742,2806,2863,2824,2798,2778,2778,2794,2817,2837,2877,2916,2946
Czech Republic,Male (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,15,13,16,14,15,15,16,15,16,14,13,16,15
Czech Republic,Female (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,158,145,152,153,148,173,164,168,167,173,186,175,178
Czech Republic,Female (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,1004,1013,999,958,985,1116,1116,1133,1129,1156,1189,1226,1245
Czech Republic,Female (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,922,956,987,999,953,804,830,840,859,874,885,903,923
Czech Republic,Female (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,2086,2116,2139,2111,2087,2095,2111,2143,2157,2205,2262,2306,2347
Czech Republic,Female (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,2,2,1,1,1,2,2,1,2,1,2,2,1
Côte d'Ivoire,Total (Sex),Skill level 1 (low) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,523,,
Côte d'Ivoire,Total (Sex),Skill level 2 (medium) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,7036,,
Côte d'Ivoire,Total (Sex),Skill levels 3 and 4 (high) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,451,,
Côte d'Ivoire,Total (Sex),Total (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,8484,,
Côte d'Ivoire,Total (Sex),Not elsewhere classified (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,474,,
Côte d'Ivoire,Male (Sex),Skill level 1 (low) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,317,,
Côte d'Ivoire,Male (Sex),Skill level 2 (medium) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,4109,,
Côte d'Ivoire,Male (Sex),Skill levels 3 and 4 (high) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,350,,
Côte d'Ivoire,Male (Sex),Total (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,5060,,
Côte d'Ivoire,Male (Sex),Not elsewhere classified (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,283,,
Côte d'Ivoire,Female (Sex),Skill level 1 (low) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,206,,
Côte d'Ivoire,Female (Sex),Skill level 2 (medium) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,2927,,
Côte d'Ivoire,Female (Sex),Skill levels 3 and 4 (high) (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,101,,
Côte d'Ivoire,Female (Sex),Total (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,3424,,
Côte d'Ivoire,Female (Sex),Not elsewhere classified (Skill level),National survey on the employment situation,Labour force survey,,,,,,,,,,,190,,
Denmark,Total (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,298,317,319,289,286,287,276,272,284,300,320,309,318
Denmark,Total (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,1249,1268,1287,1227,1182,1213,1186,1180,1187,1193,1184,1160,1175
Denmark,Total (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,1244,1209,1235,1242,1226,1193,1215,1223,1229,1241,1281,1305,1349
Denmark,Total (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,2805,2804,2853,2770,2706,2703,2689,2688,2714,2752,2840,2816,2868
Denmark,Total (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,15,10,13,12,12,10,12,13,15,18,55,42,27
Denmark,Male (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,171,180,185,164,167,153,149,144,153,164,179,176,174
Denmark,Male (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,668,668,678,642,608,660,652,651,646,650,639,627,640
Denmark,Male (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,644,634,642,638,629,599,601,604,622,633,647,654,680
Denmark,Male (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,1496,1492,1517,1454,1415,1421,1413,1410,1433,1461,1503,1487,1515
Denmark,Male (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,13,9,12,11,10,9,11,11,12,14,38,29,21
Denmark,Female (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,127,137,133,125,120,134,127,127,131,136,141,133,144
Denmark,Female (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,581,600,609,585,573,553,534,530,541,543,545,533,535
Denmark,Female (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,600,574,593,604,597,594,614,619,606,608,634,651,669
Denmark,Female (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,1309,1312,1336,1316,1292,1282,1276,1278,1282,1291,1336,1329,1353
Denmark,Female (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,,,,,,1,1,1,3,4,17,13,6
Dominican Republic,Total (Sex),Skill level 1 (low) (Skill level),National Labour Force Survey,Labour force survey,693,700,737,812,814,868,888,893,893,911,933,,
Dominican Republic,Total (Sex),Skill level 2 (medium) (Skill level),National Labour Force Survey,Labour force survey,2092,2150,2177,1988,2128,2185,2205,2217,2375,2373,2401,,
Dominican Republic,Total (Sex),Skill levels 3 and 4 (high) (Skill level),National Labour Force Survey,Labour force survey,557,580,618,654,655,669,718,728,724,812,865,,
Dominican Republic,Total (Sex),Total (Skill level),National Labour Force Survey,Labour force survey,3371,3460,3554,3482,3626,3760,3841,3869,4016,4129,4241,,
Dominican Republic,Total (Sex),Not elsewhere classified (Skill level),National Labour Force Survey,Labour force survey,28,30,23,27,29,38,30,31,24,33,41,,
Dominican Republic,Total (Sex),Skill level 1 (low) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,863,861,903,
Dominican Republic,Total (Sex),Skill level 2 (medium) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,2547,2656,2750,
Dominican Republic,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,673,709,702,
Dominican Republic,Total (Sex),Total (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,4114,4262,4383,
Dominican Republic,Total (Sex),Not elsewhere classified (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,31,36,28,
Dominican Republic,Male (Sex),Skill level 1 (low) (Skill level),National Labour Force Survey,Labour force survey,411,403,428,500,488,524,530,530,514,526,538,,
Dominican Republic,Male (Sex),Skill level 2 (medium) (Skill level),National Labour Force Survey,Labour force survey,1471,1513,1505,1395,1465,1488,1500,1507,1617,1587,1602,,
Dominican Republic,Male (Sex),Skill levels 3 and 4 (high) (Skill level),National Labour Force Survey,Labour force survey,286,307,319,350,318,313,339,356,354,406,422,,
Dominican Republic,Male (Sex),Total (Skill level),National Labour Force Survey,Labour force survey,2193,2250,2270,2269,2298,2357,2392,2421,2503,2549,2597,,
Dominican Republic,Male (Sex),Not elsewhere classified (Skill level),National Labour Force Survey,Labour force survey,25,26,19,24,26,31,23,28,18,30,36,,
Dominican Republic,Male (Sex),Skill level 1 (low) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,451,462,480,
Dominican Republic,Male (Sex),Skill level 2 (medium) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1723,1783,1841,
Dominican Republic,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,323,321,297,
Dominican Republic,Male (Sex),Total (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,2524,2599,2642,
Dominican Republic,Male (Sex),Not elsewhere classified (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,26,33,24,
Dominican Republic,Female (Sex),Skill level 1 (low) (Skill level),National Labour Force Survey,Labour force survey,282,296,309,312,326,344,358,363,379,385,395,,
Dominican Republic,Female (Sex),Skill level 2 (medium) (Skill level),National Labour Force Survey,Labour force survey,621,637,672,593,663,697,705,710,758,786,799,,
Dominican Republic,Female (Sex),Skill levels 3 and 4 (high) (Skill level),National Labour Force Survey,Labour force survey,271,273,299,304,337,356,379,372,370,406,444,,
Dominican Republic,Female (Sex),Total (Skill level),National Labour Force Survey,Labour force survey,1177,1210,1284,1213,1328,1403,1449,1448,1512,1580,1644,,
Dominican Republic,Female (Sex),Not elsewhere classified (Skill level),National Labour Force Survey,Labour force survey,3,3,3,4,3,7,7,3,6,3,6,,
Dominican Republic,Female (Sex),Skill level 1 (low) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,412,399,423,
Dominican Republic,Female (Sex),Skill level 2 (medium) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,824,873,909,
Dominican Republic,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,350,389,405,
Dominican Republic,Female (Sex),Total (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1590,1663,1740,
Dominican Republic,Female (Sex),Not elsewhere classified (Skill level),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,5,3,3,
Ecuador,Total (Sex),Skill level 1 (low) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,1939,1885,1893,1831,1813,1607,1734,1656,1616,1727,1772,1905,1925
Ecuador,Total (Sex),Skill level 2 (medium) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,3312,3282,3345,3460,3427,3755,3819,4069,4203,4401,4620,4793,4775
Ecuador,Total (Sex),Skill levels 3 and 4 (high) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,786,816,851,813,884,880,935,950,938,986,1048,1018,1043
Ecuador,Total (Sex),Total (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,6057,6018,6125,6125,6144,6264,6506,6695,6784,7151,7482,7766,7779
Ecuador,Total (Sex),Not elsewhere classified (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,19,35,37,21,19,22,18,20,28,37,42,50,36
Ecuador,Male (Sex),Skill level 1 (low) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,1140,1131,1135,1067,1087,968,1030,1001,967,958,898,926,921
Ecuador,Male (Sex),Skill level 2 (medium) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,2091,2024,2063,2189,2171,2374,2415,2539,2647,2762,2894,3018,3062
Ecuador,Male (Sex),Skill levels 3 and 4 (high) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,427,442,453,423,450,440,466,484,482,495,519,503,528
Ecuador,Male (Sex),Total (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,3677,3631,3688,3700,3728,3804,3930,4043,4124,4251,4351,4495,4544
Ecuador,Male (Sex),Not elsewhere classified (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,19,34,36,21,19,22,18,19,28,36,40,48,34
Ecuador,Female (Sex),Skill level 1 (low) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,799,754,758,764,726,639,704,655,649,769,875,979,1004
Ecuador,Female (Sex),Skill level 2 (medium) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,1221,1258,1281,1270,1256,1381,1404,1530,1555,1638,1726,1776,1713
Ecuador,Female (Sex),Skill levels 3 and 4 (high) (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,359,374,397,391,434,439,468,466,456,492,529,515,516
Ecuador,Female (Sex),Total (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,2380,2387,2437,2425,2416,2460,2577,2652,2660,2900,3132,3271,3235
Ecuador,Female (Sex),Not elsewhere classified (Skill level),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,,,,,0,,,1,0,1,2,2,2
Egypt,Total (Sex),Skill level 1 (low) (Skill level),Labour force sample survey,Labour force survey,743,765,903,1748,1769,1742,1750,1952,,2549,2026,2212,
Egypt,Total (Sex),Skill level 2 (medium) (Skill level),Labour force sample survey,Labour force survey,13593,14358,15201,15038,15667,15068,13795,13330,,13822,14977,15894,
Egypt,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force sample survey,Labour force survey,6073,6574,6384,6164,6357,6495,8012,8691,,8408,8328,7891,
Egypt,Total (Sex),Total (Skill level),Labour force sample survey,Labour force survey,20444,21724,22507,22975,23829,23346,23564,23975,,24779,25371,26051,
Egypt,Total (Sex),Not elsewhere classified (Skill level),Labour force sample survey,Labour force survey,34,26,19,25,36,41,8,3,,,41,55,
Egypt,Male (Sex),Skill level 1 (low) (Skill level),Labour force sample survey,Labour force survey,681,693,832,1602,1595,1593,1579,1733,,1797,1777,1900,
Egypt,Male (Sex),Skill level 2 (medium) (Skill level),Labour force sample survey,Labour force survey,11395,11628,12555,12374,13064,12571,11484,10728,,11565,12046,12873,
Egypt,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force sample survey,Labour force survey,4456,4747,4637,4399,4464,4519,5832,6620,,6332,6163,5843,
Egypt,Male (Sex),Total (Skill level),Labour force sample survey,Labour force survey,16559,17090,18042,18397,19153,18719,18903,19083,,19694,20009,20648,
Egypt,Male (Sex),Not elsewhere classified (Skill level),Labour force sample survey,Labour force survey,27,20,18,22,31,36,7,3,,,23,32,
Egypt,Female (Sex),Skill level 1 (low) (Skill level),Labour force sample survey,Labour force survey,62,72,71,146,174,149,171,218,,752,249,312,
Egypt,Female (Sex),Skill level 2 (medium) (Skill level),Labour force sample survey,Labour force survey,2198,2730,2646,2664,2604,2497,2310,2602,,2257,2930,3021,
Egypt,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force sample survey,Labour force survey,1617,1827,1747,1765,1893,1976,2179,2071,,2076,2165,2048,
Egypt,Female (Sex),Total (Skill level),Labour force sample survey,Labour force survey,3884,4634,4466,4578,4676,4627,4662,4892,,5085,5362,5404,
Egypt,Female (Sex),Not elsewhere classified (Skill level),Labour force sample survey,Labour force survey,7,5,2,3,5,5,,,,,18,23,
El Salvador,Total (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,787,758,,,,,,,,,,,
El Salvador,Total (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,1254,1353,,,,,,,,,,,
El Salvador,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,291,302,,,,,,,,,,,
El Salvador,Total (Sex),Total (Skill level),Labour force survey,Labour force survey,2337,2419,,,,,,,,,,,
El Salvador,Total (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,5,6,,,,,,,,,,,
El Salvador,Male (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,499,487,,,,,,,,,,,
El Salvador,Male (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,679,738,,,,,,,,,,,
El Salvador,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,159,171,,,,,,,,,,,
El Salvador,Male (Sex),Total (Skill level),Labour force survey,Labour force survey,1342,1402,,,,,,,,,,,
El Salvador,Male (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,5,6,,,,,,,,,,,
El Salvador,Female (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,288,271,,,,,,,,,,,
El Salvador,Female (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,575,615,,,,,,,,,,,
El Salvador,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,132,131,,,,,,,,,,,
El Salvador,Female (Sex),Total (Skill level),Labour force survey,Labour force survey,995,1017,,,,,,,,,,,
El Salvador,Total (Sex),Skill level 1 (low) (Skill level),Multi-purpose household survey,Other household survey,,,749,,786,801,829,730,722,702,738,717,
El Salvador,Total (Sex),Skill level 2 (medium) (Skill level),Multi-purpose household survey,Other household survey,,,1291,1273,1317,1374,1416,1558,1584,1631,1672,1734,
El Salvador,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Multi-purpose household survey,Other household survey,,,302,302,288,282,306,334,330,327,307,293,
El Salvador,Total (Sex),Total (Skill level),Multi-purpose household survey,Other household survey,,,2349,2365,2398,2466,2559,2630,2644,2667,2727,2752,
El Salvador,Total (Sex),Not elsewhere classified (Skill level),Multi-purpose household survey,Other household survey,,,8,789,7,9,9,8,8,7,10,8,
El Salvador,Male (Sex),Skill level 1 (low) (Skill level),Multi-purpose household survey,Other household survey,,,462,,499,501,514,440,439,454,460,457,
El Salvador,Male (Sex),Skill level 2 (medium) (Skill level),Multi-purpose household survey,Other household survey,,,720,709,730,779,806,883,904,920,936,982,
El Salvador,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Multi-purpose household survey,Other household survey,,,167,156,150,152,162,180,171,179,173,163,
El Salvador,Male (Sex),Total (Skill level),Multi-purpose household survey,Other household survey,,,1357,1361,1387,1441,1491,1511,1521,1560,1579,1610,
El Salvador,Male (Sex),Not elsewhere classified (Skill level),Multi-purpose household survey,Other household survey,,,7,495,7,9,9,8,8,7,10,8,
El Salvador,Female (Sex),Skill level 1 (low) (Skill level),Multi-purpose household survey,Other household survey,,,287,,287,300,315,290,283,248,278,260,
El Salvador,Female (Sex),Skill level 2 (medium) (Skill level),Multi-purpose household survey,Other household survey,,,570,564,587,596,611,675,680,711,736,752,
El Salvador,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Multi-purpose household survey,Other household survey,,,135,146,137,130,143,153,159,148,134,129,
El Salvador,Female (Sex),Total (Skill level),Multi-purpose household survey,Other household survey,,,992,1004,1012,1026,1069,1118,1123,1107,1148,1142,
El Salvador,Female (Sex),Not elsewhere classified (Skill level),Multi-purpose household survey,Other household survey,,,0,294,,,,,,,,,
Estonia,Total (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,65,67,63,56,55,55,51,57,51,51,54,59,54
Estonia,Total (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,322,322,332,282,264,294,301,301,302,304,302,294,294
Estonia,Total (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,260,264,257,253,246,252,260,260,267,281,284,300,312
Estonia,Total (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,652,658,656,594,568,603,615,621,625,641,645,659,665
Estonia,Total (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,5,4,4,4,4,2,3,3,5,5,5,6,5
Estonia,Male (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,27,27,24,21,21,22,18,20,21,20,21,25,21
Estonia,Male (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,187,191,197,166,152,171,175,175,175,174,176,172,174
Estonia,Male (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,113,113,109,102,101,108,114,117,121,131,128,136,144
Estonia,Male (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,330,335,334,291,278,303,309,315,320,328,329,338,342
Estonia,Male (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,4,3,3,3,4,2,2,2,3,4,4,5,4
Estonia,Female (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,38,40,38,35,34,32,32,37,30,31,32,34,32
Estonia,Female (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,136,131,134,117,111,124,126,127,127,130,126,122,120
Estonia,Female (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,147,151,148,151,145,144,146,143,146,151,156,164,169
Estonia,Female (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,322,323,322,303,290,300,306,307,305,313,315,321,322
Estonia,Female (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,1,1,1,0,0,1,1,0,2,1,1,1,
Eswatini,Total (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,53,,
Eswatini,Total (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,180,,
Eswatini,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,53,,
Eswatini,Total (Sex),Total (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,292,,
Eswatini,Total (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,7,,
Eswatini,Male (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,25,,
Eswatini,Male (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,95,,
Eswatini,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,26,,
Eswatini,Male (Sex),Total (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,150,,
Eswatini,Male (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,4,,
Eswatini,Female (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,28,,
Eswatini,Female (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,85,,
Eswatini,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,26,,
Eswatini,Female (Sex),Total (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,142,,
Eswatini,Female (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,,,,,,3,,
Ethiopia,Total (Sex),Skill level 1 (low) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,10033,,,,,
Ethiopia,Total (Sex),Skill level 2 (medium) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,23851,,,,,
Ethiopia,Total (Sex),Skill levels 3 and 4 (high) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,1599,,,,,
Ethiopia,Total (Sex),Total (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,35498,,,,,
Ethiopia,Total (Sex),Not elsewhere classified (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,15,,,,,
Ethiopia,Male (Sex),Skill level 1 (low) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,3328,,,,,
Ethiopia,Male (Sex),Skill level 2 (medium) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,14705,,,,,
Ethiopia,Male (Sex),Skill levels 3 and 4 (high) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,1092,,,,,
Ethiopia,Male (Sex),Total (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,19137,,,,,
Ethiopia,Male (Sex),Not elsewhere classified (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,11,,,,,
Ethiopia,Female (Sex),Skill level 1 (low) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,6704,,,,,
Ethiopia,Female (Sex),Skill level 2 (medium) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,9146,,,,,
Ethiopia,Female (Sex),Skill levels 3 and 4 (high) (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,507,,,,,
Ethiopia,Female (Sex),Total (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,16361,,,,,
Ethiopia,Female (Sex),Not elsewhere classified (Skill level),National Labor Force Survey,Labour force survey,,,,,,,,4,,,,,
Fiji,Total (Sex),Skill level 1 (low) (Skill level),"Employment, Unemployment Survey",Labour force survey,,17,,,44,44,,,34,,39,,
Fiji,Total (Sex),Skill level 2 (medium) (Skill level),"Employment, Unemployment Survey",Labour force survey,,61,,,250,250,,,239,,223,,
Fiji,Total (Sex),Skill levels 3 and 4 (high) (Skill level),"Employment, Unemployment Survey",Labour force survey,,34,,,59,58,,,68,,66,,
Fiji,Total (Sex),Total (Skill level),"Employment, Unemployment Survey",Labour force survey,,117,,,353,353,,,344,,327,,
Fiji,Total (Sex),Not elsewhere classified (Skill level),"Employment, Unemployment Survey",Labour force survey,,4,,,,2,,,3,,,,
Fiji,Male (Sex),Skill level 1 (low) (Skill level),"Employment, Unemployment Survey",Labour force survey,,14,,,,29,,,24,,25,,
Fiji,Male (Sex),Skill level 2 (medium) (Skill level),"Employment, Unemployment Survey",Labour force survey,,39,,,,163,,,161,,156,,
