"Downloaded on TUE, 21 MAY 2019 13:18 +0200 from ILOSTAT",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Dataset:,Annual data,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Sex,Status in employment,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Benin,Female (Sex),2. Employers (ICSE-93),Monitoring survey of the Modular and Integrated Survey of Household Living Conditions,Household income/expenditure survey,,,,,,10,,,,,,,
Benin,Female (Sex),3. Own-account workers (ICSE-93),Monitoring survey of the Modular and Integrated Survey of Household Living Conditions,Household income/expenditure survey,,,,,,1130,,,,,,,
Benin,Female (Sex),5. Contributing family workers (ICSE-93),Monitoring survey of the Modular and Integrated Survey of Household Living Conditions,Household income/expenditure survey,,,,,,322,,,,,,,
Benin,Female (Sex),Total (ICSE-93),Monitoring survey of the Modular and Integrated Survey of Household Living Conditions,Household income/expenditure survey,,,,,,1534,,,,,,,
Bermuda,Total (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,,,,32,32,,30,,,,,,
Bermuda,Total (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,,,,2,1,,3,,,,,,
Bermuda,Total (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,,,,3,2,,3,,,,,,
Bermuda,Total (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,,,,0,0,,0,,,,,,
Bermuda,Total (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,,,,0,0,,0,,,,,,
Bermuda,Total (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,,,,37,37,,36,,,,,,
Bermuda,Male (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,,,,15,15,,14,,,,,,
Bermuda,Male (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,,,,2,1,,2,,,,,,
Bermuda,Male (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,,,,2,2,,2,,,,,,
Bermuda,Male (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,,,,,0,,0,,,,,,
Bermuda,Male (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,,,,,0,,0,,,,,,
Bermuda,Male (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,,,,18,19,,18,,,,,,
Bermuda,Female (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,,,,17,17,,15,,,,,,
Bermuda,Female (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,,,,1,0,,1,,,,,,
Bermuda,Female (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,,,,1,1,,1,,,,,,
Bermuda,Female (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,,,,0,0,,,,,,,,
Bermuda,Female (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,,,,0,0,,0,,,,,,
Bermuda,Female (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,,,,19,19,,18,,,,,,
Bhutan,Total (Sex),1. Employees (ICSE-93),Labour Force Survey Report,Labour force survey,71,,,80,98,94,96,,98,93,,,
Bhutan,Total (Sex),2. Employers (ICSE-93),Labour Force Survey Report,Labour force survey,0,,,1,0,1,0,,,,,,
Bhutan,Total (Sex),3. Own-account workers (ICSE-93),Labour Force Survey Report,Labour force survey,31,,,70,88,94,98,,109,129,,,
Bhutan,Total (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey Report,Labour force survey,120,,,162,133,135,136,,132,123,,,
Bhutan,Total (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey Report,Labour force survey,,,,,1,,,,,,,,
Bhutan,Total (Sex),Total (ICSE-93),Labour Force Survey Report,Labour force survey,222,,,313,321,324,329,,340,344,,,
Bhutan,Male (Sex),1. Employees (ICSE-93),Labour Force Survey Report,Labour force survey,51,,,59,63,68,70,,74,68,,,
Bhutan,Male (Sex),2. Employers (ICSE-93),Labour Force Survey Report,Labour force survey,0,,,1,0,0,0,,,,,,
Bhutan,Male (Sex),3. Own-account workers (ICSE-93),Labour Force Survey Report,Labour force survey,17,,,35,44,42,50,,63,71,,,
Bhutan,Male (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey Report,Labour force survey,58,,,68,58,60,41,,49,45,,,
Bhutan,Male (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey Report,Labour force survey,,,,,1,,,,,,,,
Bhutan,Male (Sex),Total (ICSE-93),Labour Force Survey Report,Labour force survey,126,,,162,166,170,161,,186,185,,,
Bhutan,Female (Sex),1. Employees (ICSE-93),Labour Force Survey Report,Labour force survey,20,,,21,36,26,26,,25,25,,,
Bhutan,Female (Sex),2. Employers (ICSE-93),Labour Force Survey Report,Labour force survey,0,,,0,0,0,0,,,,,,
Bhutan,Female (Sex),3. Own-account workers (ICSE-93),Labour Force Survey Report,Labour force survey,14,,,35,44,53,48,,46,57,,,
Bhutan,Female (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey Report,Labour force survey,62,,,94,75,75,95,,83,77,,,
Bhutan,Female (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey Report,Labour force survey,,,,,0,,,,,,,,
Bhutan,Female (Sex),Total (ICSE-93),Labour Force Survey Report,Labour force survey,96,,,150,155,154,168,,153,160,,,
Bolivia,Total (Sex),1. Employees (ICSE-93),Continuous Employment Survey,Labour force survey,1446,1586,,,,,,,,,1457,1556,
Bolivia,Total (Sex),2. Employers (ICSE-93),Continuous Employment Survey,Labour force survey,201,252,,,,,,,,,224,269,
Bolivia,Total (Sex),3. Own-account workers (ICSE-93),Continuous Employment Survey,Labour force survey,1564,1559,,,,,,,,,2405,2325,
Bolivia,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Continuous Employment Survey,Labour force survey,11,11,,,,,,,,,18,13,
Bolivia,Total (Sex),5. Contributing family workers (ICSE-93),Continuous Employment Survey,Labour force survey,1211,1107,,,,,,,,,748,876,
Bolivia,Total (Sex),6. Workers not classifiable by status (ICSE-93),Continuous Employment Survey,Labour force survey,117,157,,,,,,,,,,,
Bolivia,Total (Sex),Total (ICSE-93),Continuous Employment Survey,Labour force survey,4550,4672,,,,,,,,,4851,5039,
Bolivia,Male (Sex),1. Employees (ICSE-93),Continuous Employment Survey,Labour force survey,964,1110,,,,,,,,,841,927,
Bolivia,Male (Sex),2. Employers (ICSE-93),Continuous Employment Survey,Labour force survey,159,185,,,,,,,,,178,213,
Bolivia,Male (Sex),3. Own-account workers (ICSE-93),Continuous Employment Survey,Labour force survey,943,879,,,,,,,,,1520,1431,
Bolivia,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Continuous Employment Survey,Labour force survey,11,10,,,,,,,,,17,12,
Bolivia,Male (Sex),5. Contributing family workers (ICSE-93),Continuous Employment Survey,Labour force survey,421,387,,,,,,,,,209,234,
Bolivia,Male (Sex),6. Workers not classifiable by status (ICSE-93),Continuous Employment Survey,Labour force survey,8,7,,,,,,,,,,,
Bolivia,Male (Sex),Total (ICSE-93),Continuous Employment Survey,Labour force survey,2506,2577,,,,,,,,,2766,2816,
Bolivia,Female (Sex),1. Employees (ICSE-93),Continuous Employment Survey,Labour force survey,483,476,,,,,,,,,616,629,
Bolivia,Female (Sex),2. Employers (ICSE-93),Continuous Employment Survey,Labour force survey,43,68,,,,,,,,,46,56,
Bolivia,Female (Sex),3. Own-account workers (ICSE-93),Continuous Employment Survey,Labour force survey,620,680,,,,,,,,,885,895,
Bolivia,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Continuous Employment Survey,Labour force survey,,1,,,,,,,,,1,1,
Bolivia,Female (Sex),5. Contributing family workers (ICSE-93),Continuous Employment Survey,Labour force survey,790,720,,,,,,,,,539,642,
Bolivia,Female (Sex),6. Workers not classifiable by status (ICSE-93),Continuous Employment Survey,Labour force survey,109,150,,,,,,,,,,,
Bolivia,Female (Sex),Total (ICSE-93),Continuous Employment Survey,Labour force survey,2045,2095,,,,,,,,,2086,2223,
Bolivia,Total (Sex),1. Employees (ICSE-93),Household Survey,Household income/expenditure survey,1532,1704,1783,1974,,1882,1898,1935,1868,1881,1971,1911,
Bolivia,Total (Sex),2. Employers (ICSE-93),Household Survey,Household income/expenditure survey,201,252,283,242,,275,317,276,408,221,290,224,
Bolivia,Total (Sex),3. Own-account workers (ICSE-93),Household Survey,Household income/expenditure survey,1557,1552,1618,1664,,1739,1779,1924,1877,2064,2094,2260,
Bolivia,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Household Survey,Household income/expenditure survey,11,11,11,7,,20,22,35,28,25,9,16,
Bolivia,Total (Sex),5. Contributing family workers (ICSE-93),Household Survey,Household income/expenditure survey,883,818,883,838,,880,677,776,901,708,809,764,
Bolivia,Total (Sex),Total (ICSE-93),Household Survey,Household income/expenditure survey,4184,4338,4577,4725,,4796,4693,4946,5082,4899,5173,5175,
Bolivia,Male (Sex),1. Employees (ICSE-93),Household Survey,Household income/expenditure survey,949,1087,1115,1249,,1192,1159,1173,1152,1198,1167,1148,
Bolivia,Male (Sex),2. Employers (ICSE-93),Household Survey,Household income/expenditure survey,159,185,217,183,,211,235,206,305,170,220,182,
Bolivia,Male (Sex),3. Own-account workers (ICSE-93),Household Survey,Household income/expenditure survey,939,875,918,956,,1029,1018,1147,1124,1272,1275,1389,
Bolivia,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Household Survey,Household income/expenditure survey,11,10,11,7,,19,19,33,27,24,8,16,
Bolivia,Male (Sex),5. Contributing family workers (ICSE-93),Household Survey,Household income/expenditure survey,255,223,249,218,,228,200,203,243,197,223,208,
Bolivia,Male (Sex),Total (ICSE-93),Household Survey,Household income/expenditure survey,2313,2381,2510,2612,,2680,2631,2763,2851,2861,2892,2942,
Bolivia,Female (Sex),1. Employees (ICSE-93),Household Survey,Household income/expenditure survey,582,617,668,725,,690,739,762,716,683,804,764,
Bolivia,Female (Sex),2. Employers (ICSE-93),Household Survey,Household income/expenditure survey,43,68,66,60,,64,82,70,103,51,71,41,
Bolivia,Female (Sex),3. Own-account workers (ICSE-93),Household Survey,Household income/expenditure survey,618,677,700,708,,709,761,777,754,792,820,871,
Bolivia,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Household Survey,Household income/expenditure survey,,,,,,,,,,1,,,
Bolivia,Female (Sex),5. Contributing family workers (ICSE-93),Household Survey,Household income/expenditure survey,628,595,634,620,,652,477,573,658,511,586,556,
Bolivia,Female (Sex),Total (ICSE-93),Household Survey,Household income/expenditure survey,1871,1957,2067,2113,,2116,2062,2183,2231,2038,2282,2232,
Bosnia and Herzegovina,Total (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,588,620,645,625,616,610,591,613,625,623,606,615,
Bosnia and Herzegovina,Total (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,41,41,44,37,41,35,41,,37,33,35,42,
Bosnia and Herzegovina,Total (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,135,151,152,139,134,128,144,170,118,137,134,126,
Bosnia and Herzegovina,Total (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,46,37,48,58,48,43,38,38,32,,,32,
Bosnia and Herzegovina,Total (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,811,850,890,859,839,816,814,822,812,822,801,816,
Bosnia and Herzegovina,Male (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,381,405,416,401,392,385,374,380,391,383,384,385,
Bosnia and Herzegovina,Male (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,32,32,33,28,30,25,31,,27,25,25,31,
Bosnia and Herzegovina,Male (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,99,109,110,95,93,92,98,124,84,98,96,84,
Bosnia and Herzegovina,Male (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,16,11,15,17,13,12,11,11,9,,,10,
Bosnia and Herzegovina,Male (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,528,557,573,541,528,513,514,515,511,515,514,509,
Bosnia and Herzegovina,Female (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,207,215,230,224,224,225,217,233,234,240,222,231,
Bosnia and Herzegovina,Female (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,9,9,11,9,11,10,10,,10,,,11,
Bosnia and Herzegovina,Female (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,36,43,43,44,41,36,46,47,33,39,38,42,
Bosnia and Herzegovina,Female (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,31,26,33,41,35,31,27,27,24,,,23,
Bosnia and Herzegovina,Female (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,283,292,317,318,310,303,300,307,301,307,288,307,
Botswana,Total (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,326,,,,,,,,,,,,
Botswana,Total (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,20,,,,,,,,,,,,
Botswana,Total (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,46,,,,,,,,,,,,
Botswana,Total (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,17,,,,,,,,,,,,
Botswana,Total (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,129,,,,,,,,,,,,
Botswana,Total (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,539,,,,,,,,,,,,
Botswana,Male (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,175,,,,,,,,,,,,
Botswana,Male (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,14,,,,,,,,,,,,
Botswana,Male (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,13,,,,,,,,,,,,
Botswana,Male (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,6,,,,,,,,,,,,
Botswana,Male (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,73,,,,,,,,,,,,
Botswana,Male (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,282,,,,,,,,,,,,
Botswana,Female (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,151,,,,,,,,,,,,
Botswana,Female (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,6,,,,,,,,,,,,
Botswana,Female (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,33,,,,,,,,,,,,
Botswana,Female (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,11,,,,,,,,,,,,
Botswana,Female (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,56,,,,,,,,,,,,
Botswana,Female (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,257,,,,,,,,,,,,
Botswana,Total (Sex),1. Employees (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,432,395,,,493,,,,,
Botswana,Total (Sex),2. Employers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,16,16,,,17,,,,,
Botswana,Total (Sex),3. Own-account workers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,138,42,,,67,,,,,
Botswana,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,,,,,0,,,,,
Botswana,Total (Sex),5. Contributing family workers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,34,33,,,27,,,,,
Botswana,Total (Sex),6. Workers not classifiable by status (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,1,94,,,116,,,,,
Botswana,Total (Sex),Total (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,622,579,,,720,,,,,
Botswana,Male (Sex),1. Employees (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,241,222,,,261,,,,,
Botswana,Male (Sex),2. Employers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,10,10,,,13,,,,,
Botswana,Male (Sex),3. Own-account workers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,67,16,,,36,,,,,
Botswana,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,,,,,0,,,,,
Botswana,Male (Sex),5. Contributing family workers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,17,17,,,14,,,,,
Botswana,Male (Sex),6. Workers not classifiable by status (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,1,50,,,59,,,,,
Botswana,Male (Sex),Total (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,336,314,,,382,,,,,
Botswana,Female (Sex),1. Employees (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,191,173,,,232,,,,,
Botswana,Female (Sex),2. Employers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,6,6,,,4,,,,,
Botswana,Female (Sex),3. Own-account workers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,72,26,,,31,,,,,
Botswana,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,,,,,0,,,,,
Botswana,Female (Sex),5. Contributing family workers (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,17,17,,,13,,,,,
Botswana,Female (Sex),6. Workers not classifiable by status (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,1,44,,,57,,,,,
Botswana,Female (Sex),Total (ICSE-93),Botswana Core Welfare Indicators (Poverty) Survey,Other household survey,,,,286,265,,,338,,,,,
Brazil,Total (Sex),1. Employees (ICSE-93),Annual Labour Force Survey,Labour force survey,54493,56352,58843,59698,,61974,63419,64831,65476,62352,,,
Brazil,Total (Sex),2. Employers (ICSE-93),Annual Labour Force Survey,Labour force survey,3921,3347,4113,3958,,3151,3541,3591,3704,3531,,,
Brazil,Total (Sex),3. Own-account workers (ICSE-93),Annual Labour Force Survey,Labour force survey,22279,22445,22220,22279,,22978,22809,23636,25087,25103,,,
Brazil,Total (Sex),5. Contributing family workers (ICSE-93),Annual Labour Force Survey,Labour force survey,4206,4112,3520,3368,,2446,2288,1903,2229,1860,,,
Brazil,Total (Sex),6. Workers not classifiable by status (ICSE-93),Annual Labour Force Survey,Labour force survey,273,358,421,398,,291,259,224,295,216,,,
Brazil,Total (Sex),Total (ICSE-93),Annual Labour Force Survey,Labour force survey,85172,86615,89117,89700,,90840,92315,94184,96791,93062,,,
Brazil,Total (Sex),1. Employees (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,62515,63211,64266,62988,61046,60752,61207
Brazil,Total (Sex),2. Employers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,3555,3729,3785,4020,3911,4239,4417
Brazil,Total (Sex),3. Own-account workers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,20411,20863,21269,22205,22471,22636,23288
Brazil,Total (Sex),5. Contributing family workers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,2685,2692,2529,2510,2059,2148,2128
Brazil,Total (Sex),6. Workers not classifiable by status (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,,,,3,17,17,11
Brazil,Total (Sex),Total (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,89165,90495,91850,91726,89505,89793,91051
Brazil,Male (Sex),1. Employees (ICSE-93),Annual Labour Force Survey,Labour force survey,30576,31693,33147,33288,,34347,35032,35618,35719,33990,,,
Brazil,Male (Sex),2. Employers (ICSE-93),Annual Labour Force Survey,Labour force survey,2892,2462,2986,2926,,2265,2522,2567,2686,2568,,,
Brazil,Male (Sex),3. Own-account workers (ICSE-93),Annual Labour Force Survey,Labour force survey,13791,14001,13719,13858,,14950,14727,15220,15874,16091,,,
Brazil,Male (Sex),5. Contributing family workers (ICSE-93),Annual Labour Force Survey,Labour force survey,1612,1615,1297,1249,,860,846,654,753,670,,,
Brazil,Male (Sex),6. Workers not classifiable by status (ICSE-93),Annual Labour Force Survey,Labour force survey,105,124,173,151,,110,100,87,106,84,,,
Brazil,Male (Sex),Total (ICSE-93),Annual Labour Force Survey,Labour force survey,48977,49895,51322,51472,,52532,53227,54146,55138,53403,,,
Brazil,Male (Sex),1. Employees (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,33944,34236,34522,33526,32508,32116,32229
Brazil,Male (Sex),2. Employers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,2571,2663,2699,2868,2757,2984,3095
Brazil,Male (Sex),3. Own-account workers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,13819,14191,14487,15096,15212,14974,15179
Brazil,Male (Sex),5. Contributing family workers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,951,927,857,864,712,742,766
Brazil,Male (Sex),6. Workers not classifiable by status (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,,,,3,12,13,7
Brazil,Male (Sex),Total (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,51285,52016,52566,52356,51201,50829,51275
Brazil,Female (Sex),1. Employees (ICSE-93),Annual Labour Force Survey,Labour force survey,23916,24659,25696,26410,,27627,28386,29213,29757,28362,,,
Brazil,Female (Sex),2. Employers (ICSE-93),Annual Labour Force Survey,Labour force survey,1029,885,1127,1033,,886,1019,1024,1018,963,,,
Brazil,Female (Sex),3. Own-account workers (ICSE-93),Annual Labour Force Survey,Labour force survey,8488,8444,8501,8421,,8028,8081,8416,9214,9012,,,
Brazil,Female (Sex),5. Contributing family workers (ICSE-93),Annual Labour Force Survey,Labour force survey,2594,2497,2223,2119,,1586,1442,1249,1476,1190,,,
Brazil,Female (Sex),6. Workers not classifiable by status (ICSE-93),Annual Labour Force Survey,Labour force survey,168,234,247,247,,181,159,137,189,132,,,
Brazil,Female (Sex),Total (ICSE-93),Annual Labour Force Survey,Labour force survey,36195,36719,37794,38228,,38309,39088,40038,41654,39659,,,
Brazil,Female (Sex),1. Employees (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,28571,28975,29744,29462,28538,28637,28978
Brazil,Female (Sex),2. Employers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,983,1066,1086,1151,1153,1255,1323
Brazil,Female (Sex),3. Own-account workers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,6592,6672,6781,7109,7259,7662,8109
Brazil,Female (Sex),5. Contributing family workers (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,1734,1765,1672,1646,1347,1406,1362
Brazil,Female (Sex),6. Workers not classifiable by status (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,,,,1,5,4,4
Brazil,Female (Sex),Total (ICSE-93),Quarterly Labour Force Survey,Labour force survey,,,,,,,37880,38479,39283,39370,38303,38964,39776
Brunei Darussalam,Total (Sex),1. Employees (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,174,,,170,
Brunei Darussalam,Total (Sex),2. Employers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,7,,,5,
Brunei Darussalam,Total (Sex),3. Own-account workers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,8,,,11,
Brunei Darussalam,Total (Sex),5. Contributing family workers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,1,,,1,
Brunei Darussalam,Total (Sex),Total (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,190,,,187,
Brunei Darussalam,Male (Sex),1. Employees (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,99,,,94,
Brunei Darussalam,Male (Sex),2. Employers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,5,,,4,
Brunei Darussalam,Male (Sex),3. Own-account workers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,4,,,6,
Brunei Darussalam,Male (Sex),5. Contributing family workers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,0,,,0,
Brunei Darussalam,Male (Sex),Total (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,109,,,104,
Brunei Darussalam,Female (Sex),1. Employees (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,75,,,76,
Brunei Darussalam,Female (Sex),2. Employers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,2,,,2,
Brunei Darussalam,Female (Sex),3. Own-account workers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,3,,,5,
Brunei Darussalam,Female (Sex),5. Contributing family workers (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,1,,,0,
Brunei Darussalam,Female (Sex),Total (ICSE-93),Labour force survey,Labour force survey,,,,,,,,,81,,,83,
Bulgaria,Total (Sex),1. Employees (ICSE-93),EU Labour Force Survey,Labour force survey,2701,2849,2944,2848,2689,2606,2594,2579,2609,2667,2663,2775,2785
Bulgaria,Total (Sex),2. Employers (ICSE-93),EU Labour Force Survey,Labour force survey,123,132,123,113,113,108,105,115,114,108,107,115,117
Bulgaria,Total (Sex),3. Own-account workers (ICSE-93),EU Labour Force Survey,Labour force survey,246,234,260,259,241,221,211,222,238,237,228,235,227
Bulgaria,Total (Sex),5. Contributing family workers (ICSE-93),EU Labour Force Survey,Labour force survey,40,38,34,33,32,30,24,20,21,20,18,25,23
Bulgaria,Total (Sex),6. Workers not classifiable by status (ICSE-93),EU Labour Force Survey,Labour force survey,0,0,0,0,0,0,,,,0,0,,
Bulgaria,Total (Sex),Total (ICSE-93),EU Labour Force Survey,Labour force survey,3110,3253,3361,3254,3075,2965,2934,2935,2981,3032,3017,3150,3153
Bulgaria,Male (Sex),1. Employees (ICSE-93),EU Labour Force Survey,Labour force survey,1391,1471,1530,1476,1398,1339,1324,1316,1336,1368,1380,1440,1444
Bulgaria,Male (Sex),2. Employers (ICSE-93),EU Labour Force Survey,Labour force survey,90,96,87,82,81,76,74,84,83,80,77,82,86
Bulgaria,Male (Sex),3. Own-account workers (ICSE-93),EU Labour Force Survey,Labour force survey,158,152,165,165,149,140,135,140,152,152,144,151,146
Bulgaria,Male (Sex),5. Contributing family workers (ICSE-93),EU Labour Force Survey,Labour force survey,13,13,10,10,11,12,8,7,6,7,7,9,9
Bulgaria,Male (Sex),6. Workers not classifiable by status (ICSE-93),EU Labour Force Survey,Labour force survey,0,0,0,,0,0,0,0,,,0,0,
Bulgaria,Male (Sex),Total (ICSE-93),EU Labour Force Survey,Labour force survey,1653,1732,1793,1732,1640,1567,1542,1547,1577,1608,1608,1683,1685
Bulgaria,Female (Sex),1. Employees (ICSE-93),EU Labour Force Survey,Labour force survey,1311,1378,1414,1372,1291,1267,1270,1262,1273,1299,1283,1335,1341
Bulgaria,Female (Sex),2. Employers (ICSE-93),EU Labour Force Survey,Labour force survey,32,36,36,32,32,32,31,31,31,28,30,32,31
Bulgaria,Female (Sex),3. Own-account workers (ICSE-93),EU Labour Force Survey,Labour force survey,88,82,95,95,92,82,76,82,86,85,84,85,80
Bulgaria,Female (Sex),5. Contributing family workers (ICSE-93),EU Labour Force Survey,Labour force survey,27,25,24,23,21,18,16,13,14,13,12,16,15
Bulgaria,Female (Sex),6. Workers not classifiable by status (ICSE-93),EU Labour Force Survey,Labour force survey,,,0,0,0,0,,,,,0,0,
