,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country,Sex,Age,Education,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Côte d'Ivoire,Total (Sex),15-64 (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1779,2213,,,1883,,
Côte d'Ivoire,Total (Sex),15-64 (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,282,515,,,409,,
Côte d'Ivoire,Total (Sex),15-64 (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,2221,5425,,,5446,,
Côte d'Ivoire,Total (Sex),15-64 (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,4519,8707,,,8225,,
Côte d'Ivoire,Total (Sex),15-64 (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,51,374,,,201,,
Côte d'Ivoire,Total (Sex),15+ (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,185,183,,,291,,
Côte d'Ivoire,Total (Sex),15+ (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1796,2237,,,1898,,
Côte d'Ivoire,Total (Sex),15+ (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,284,518,,,410,,
Côte d'Ivoire,Total (Sex),15+ (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,2326,5682,,,5675,,
Côte d'Ivoire,Total (Sex),15+ (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,4642,9006,,,8484,,
Côte d'Ivoire,Total (Sex),15+ (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,51,385,,,210,,
Côte d'Ivoire,Total (Sex),25+ (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,174,177,,,281,,
Côte d'Ivoire,Total (Sex),25+ (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1187,1760,,,1525,,
Côte d'Ivoire,Total (Sex),25+ (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,218,457,,,381,,
Côte d'Ivoire,Total (Sex),25+ (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1702,4567,,,4644,,
Côte d'Ivoire,Total (Sex),25+ (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,3320,7290,,,7011,,
Côte d'Ivoire,Total (Sex),25+ (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,38,329,,,181,,
Côte d'Ivoire,Male (Sex),15-24 (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,8,4,,,6,,
Côte d'Ivoire,Male (Sex),15-24 (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,316,297,,,249,,
Côte d'Ivoire,Male (Sex),15-24 (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,42,43,,,22,,
Côte d'Ivoire,Male (Sex),15-24 (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,246,466,,,484,,
Côte d'Ivoire,Male (Sex),15-24 (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,621,835,,,776,,
Côte d'Ivoire,Male (Sex),15-24 (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,9,26,,,15,,
Côte d'Ivoire,Male (Sex),15-64 (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,140,145,,,225,,
Côte d'Ivoire,Male (Sex),15-64 (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1014,1465,,,1319,,
Côte d'Ivoire,Male (Sex),15-64 (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,207,377,,,314,,
Côte d'Ivoire,Male (Sex),15-64 (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1004,2552,,,2864,,
Côte d'Ivoire,Male (Sex),15-64 (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,2406,4774,,,4886,,
Côte d'Ivoire,Male (Sex),15-64 (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,41,236,,,164,,
Côte d'Ivoire,Male (Sex),15+ (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,141,147,,,229,,
Côte d'Ivoire,Male (Sex),15+ (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1029,1487,,,1329,,
Côte d'Ivoire,Male (Sex),15+ (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,208,380,,,315,,
Côte d'Ivoire,Male (Sex),15+ (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1065,2704,,,3015,,
Côte d'Ivoire,Male (Sex),15+ (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,2483,4964,,,5060,,
Côte d'Ivoire,Male (Sex),15+ (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,41,246,,,172,,
Côte d'Ivoire,Male (Sex),25+ (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,132,143,,,223,,
Côte d'Ivoire,Male (Sex),25+ (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,712,1190,,,1080,,
Côte d'Ivoire,Male (Sex),25+ (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,165,337,,,294,,
Côte d'Ivoire,Male (Sex),25+ (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,819,2238,,,2530,,
Côte d'Ivoire,Male (Sex),25+ (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1862,4129,,,4284,,
Côte d'Ivoire,Male (Sex),25+ (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,32,221,,,157,,
Côte d'Ivoire,Female (Sex),15-24 (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,3,2,,,4,,
Côte d'Ivoire,Female (Sex),15-24 (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,293,181,,,124,,
Côte d'Ivoire,Female (Sex),15-24 (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,23,18,,,8,,
Côte d'Ivoire,Female (Sex),15-24 (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,378,649,,,547,,
Côte d'Ivoire,Female (Sex),15-24 (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,702,881,,,697,,
Côte d'Ivoire,Female (Sex),15-24 (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,4,31,,,14,,
Côte d'Ivoire,Female (Sex),15-64 (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,45,36,,,61,,
Côte d'Ivoire,Female (Sex),15-64 (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,765,748,,,564,,
Côte d'Ivoire,Female (Sex),15-64 (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,75,137,,,95,,
Côte d'Ivoire,Female (Sex),15-64 (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1218,2873,,,2582,,
Côte d'Ivoire,Female (Sex),15-64 (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,2113,3933,,,3339,,
Côte d'Ivoire,Female (Sex),15-64 (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,11,138,,,37,,
Côte d'Ivoire,Female (Sex),15+ (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,45,36,,,62,,
Côte d'Ivoire,Female (Sex),15+ (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,767,751,,,568,,
Côte d'Ivoire,Female (Sex),15+ (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,76,138,,,95,,
Côte d'Ivoire,Female (Sex),15+ (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1261,2978,,,2660,,
Côte d'Ivoire,Female (Sex),15+ (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,2159,4042,,,3424,,
Côte d'Ivoire,Female (Sex),15+ (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,11,139,,,38,,
Côte d'Ivoire,Female (Sex),25+ (Age),Advanced (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,42,34,,,58,,
Côte d'Ivoire,Female (Sex),25+ (Age),Basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,474,570,,,444,,
Côte d'Ivoire,Female (Sex),25+ (Age),Intermediate (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,53,120,,,87,,
Côte d'Ivoire,Female (Sex),25+ (Age),Less than basic (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,882,2329,,,2113,,
Côte d'Ivoire,Female (Sex),25+ (Age),Total (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,1458,3161,,,2727,,
Côte d'Ivoire,Female (Sex),25+ (Age),Level not stated (Aggregate levels),National survey on the employment situation,Labour force survey,,,,,,,6,108,,,24,,
Denmark,Total (Sex),15-24 (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,12,12,14,12,13,17,18,20,21,26,23,28,24
Denmark,Total (Sex),15-24 (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,194,226,245,234,219,212,195,189,186,191,205,192,191
Denmark,Total (Sex),15-24 (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,169,156,160,160,154,161,164,166,173,180,188,180,193
Denmark,Total (Sex),15-24 (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,19,,,,,,,,,,,,
Denmark,Total (Sex),15-24 (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,395,399,421,411,391,396,385,381,385,400,424,411,415
Denmark,Total (Sex),15-24 (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,1,6,3,6,5,6,8,7,4,4,7,11,8
Denmark,Total (Sex),15-64 (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,909,787,818,824,827,835,858,871,901,939,945,975,1012
Denmark,Total (Sex),15-64 (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,520,726,763,708,656,621,575,557,541,531,551,519,520
Denmark,Total (Sex),15-64 (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,1295,1183,1174,1135,1111,1126,1113,1109,1148,1175,1166,1143,1178
Denmark,Total (Sex),15-64 (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,33,,,,,,,,,,,,
Denmark,Total (Sex),15-64 (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,2762,2759,2807,2724,2654,2643,2621,2622,2640,2678,2748,2734,2785
Denmark,Total (Sex),15-64 (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,4,62,52,57,59,61,76,86,49,33,85,96,75
Denmark,Total (Sex),15+ (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,922,799,831,837,842,853,876,892,926,967,977,1005,1043
Denmark,Total (Sex),15+ (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,530,742,779,725,672,639,596,575,560,549,575,537,537
Denmark,Total (Sex),15+ (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,1317,1199,1190,1151,1131,1148,1140,1135,1179,1203,1202,1178,1212
Denmark,Total (Sex),15+ (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,33,,,,,,,,,,,,
Denmark,Total (Sex),15+ (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,2805,2804,2853,2770,2706,2703,2689,2688,2714,2752,2840,2816,2868
Denmark,Total (Sex),15+ (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,4,64,53,58,61,62,77,86,50,33,86,97,76
Denmark,Total (Sex),25+ (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,909,787,817,825,829,836,859,872,904,941,954,977,1020
Denmark,Total (Sex),25+ (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,336,516,535,491,453,428,400,386,374,358,370,345,346
Denmark,Total (Sex),25+ (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,1148,1043,1030,991,976,987,975,969,1006,1024,1014,998,1019
Denmark,Total (Sex),25+ (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,14,,,,,,,,,,,,
Denmark,Total (Sex),25+ (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,2411,2404,2432,2359,2315,2307,2304,2307,2329,2352,2416,2406,2453
Denmark,Total (Sex),25+ (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,3,58,50,52,56,56,70,80,45,29,78,86,68
Denmark,Male (Sex),15-24 (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,5,5,6,5,5,6,7,7,9,10,10,14,9
Denmark,Male (Sex),15-24 (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,106,126,137,131,120,115,107,101,100,104,109,104,102
Denmark,Male (Sex),15-24 (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,82,73,73,70,69,74,77,77,82,85,87,84,92
Denmark,Male (Sex),15-24 (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,9,,,,,,,,,,,,
Denmark,Male (Sex),15-24 (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,202,208,218,209,195,199,195,189,193,201,210,206,207
Denmark,Male (Sex),15-24 (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,,4,2,2,2,3,4,4,3,2,4,5,4
Denmark,Male (Sex),15-64 (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,440,374,389,380,386,381,382,382,408,420,431,436,454
Denmark,Male (Sex),15-64 (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,273,396,414,379,355,343,318,312,313,312,320,311,308
Denmark,Male (Sex),15-64 (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,732,656,651,633,609,626,629,627,638,659,641,628,650
Denmark,Male (Sex),15-64 (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,17,,,,,,,,,,,,
Denmark,Male (Sex),15-64 (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,1464,1460,1484,1421,1378,1381,1367,1365,1384,1408,1440,1430,1457
Denmark,Male (Sex),15-64 (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,2,34,29,29,29,31,38,45,25,17,48,57,44
Denmark,Male (Sex),15+ (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,448,383,398,390,396,393,394,397,422,439,451,456,476
Denmark,Male (Sex),15+ (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,280,407,427,390,367,355,332,324,325,325,338,322,321
Denmark,Male (Sex),15+ (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,749,667,662,645,622,641,648,644,660,680,667,652,674
Denmark,Male (Sex),15+ (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,17,,,,,,,,,,,,
Denmark,Male (Sex),15+ (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,1496,1492,1517,1454,1415,1421,1413,1410,1433,1461,1503,1487,1515
Denmark,Male (Sex),15+ (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,2,35,30,30,30,32,39,46,26,17,48,57,45
Denmark,Male (Sex),25+ (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,444,377,392,384,391,386,387,390,413,429,441,442,467
Denmark,Male (Sex),25+ (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,174,281,289,259,248,240,225,223,226,221,228,219,219
Denmark,Male (Sex),25+ (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,667,594,589,574,553,567,570,567,578,595,580,568,582
Denmark,Male (Sex),25+ (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,8,,,,,,,,,,,,
Denmark,Male (Sex),25+ (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,1294,1284,1299,1246,1220,1222,1218,1221,1240,1260,1293,1281,1308
Denmark,Male (Sex),25+ (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,2,32,28,27,28,29,35,42,23,15,44,52,41
Denmark,Female (Sex),15-24 (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,7,6,8,6,8,10,11,13,13,16,13,14,15
Denmark,Female (Sex),15-24 (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,88,100,107,103,99,96,89,87,87,87,96,88,89
Denmark,Female (Sex),15-24 (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,86,83,87,89,86,88,87,89,91,95,101,96,101
Denmark,Female (Sex),15-24 (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,10,,,,,,,,,,,,
Denmark,Female (Sex),15-24 (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,193,191,203,203,196,197,190,191,192,199,214,205,208
Denmark,Female (Sex),15-24 (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,1,2,1,4,3,3,3,3,1,1,4,6,4
Denmark,Female (Sex),15-64 (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,469,414,429,444,442,454,475,489,494,519,514,540,558
Denmark,Female (Sex),15-64 (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,247,329,349,329,301,278,257,245,228,219,231,209,212
Denmark,Female (Sex),15-64 (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,563,528,523,502,502,500,484,483,510,516,524,516,528
Denmark,Female (Sex),15-64 (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,16,,,,,,,,,,,,
Denmark,Female (Sex),15-64 (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,1297,1299,1323,1303,1276,1262,1254,1257,1256,1270,1307,1304,1329
Denmark,Female (Sex),15-64 (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,2,28,22,28,31,30,38,41,24,15,37,39,31
Denmark,Female (Sex),15+ (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,473,416,433,447,446,460,482,495,504,528,526,549,567
Denmark,Female (Sex),15+ (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,251,335,353,334,305,284,264,251,235,224,238,215,216
Denmark,Female (Sex),15+ (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,567,532,528,506,509,507,492,491,519,524,535,526,538
Denmark,Female (Sex),15+ (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,16,,,,,,,,,,,,
Denmark,Female (Sex),15+ (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,1309,1312,1336,1316,1292,1282,1276,1278,1282,1291,1336,1329,1353
Denmark,Female (Sex),15+ (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,2,28,23,28,31,30,38,41,24,15,38,40,31
Denmark,Female (Sex),25+ (Age),Advanced (Aggregate levels),EU Labour Force Survey,Labour force survey,466,410,425,441,438,450,471,483,491,512,513,535,553
Denmark,Female (Sex),25+ (Age),Basic (Aggregate levels),EU Labour Force Survey,Labour force survey,162,235,245,231,206,188,175,163,148,137,141,127,127
Denmark,Female (Sex),25+ (Age),Intermediate (Aggregate levels),EU Labour Force Survey,Labour force survey,481,449,441,417,423,420,405,402,428,429,434,430,437
Denmark,Female (Sex),25+ (Age),Less than basic (Aggregate levels),EU Labour Force Survey,Labour force survey,6,,,,,,,,,,,,
Denmark,Female (Sex),25+ (Age),Total (Aggregate levels),EU Labour Force Survey,Labour force survey,1117,1120,1133,1114,1095,1084,1086,1086,1089,1092,1123,1125,1145
Denmark,Female (Sex),25+ (Age),Level not stated (Aggregate levels),EU Labour Force Survey,Labour force survey,2,26,22,24,28,27,35,38,22,14,34,34,27
Dominican Republic,Total (Sex),15-24 (Age),Advanced (Aggregate levels),National Labour Force Survey,Labour force survey,23,25,26,22,27,20,26,24,29,45,32,,
Dominican Republic,Total (Sex),15-24 (Age),Basic (Aggregate levels),National Labour Force Survey,Labour force survey,314,313,312,291,293,309,265,267,280,274,269,,
Dominican Republic,Total (Sex),15-24 (Age),Intermediate (Aggregate levels),National Labour Force Survey,Labour force survey,201,215,248,211,248,267,286,282,289,287,324,,
Dominican Republic,Total (Sex),15-24 (Age),Less than basic (Aggregate levels),National Labour Force Survey,Labour force survey,109,98,107,87,87,85,78,78,73,69,60,,
Dominican Republic,Total (Sex),15-24 (Age),Total (Aggregate levels),National Labour Force Survey,Labour force survey,647,652,694,612,655,682,656,652,671,676,686,,
Dominican Republic,Total (Sex),15-24 (Age),Level not stated (Aggregate levels),National Labour Force Survey,Labour force survey,,1,,,,,,,,,1,,
Dominican Republic,Total (Sex),15-64 (Age),Advanced (Aggregate levels),National Labour Force Survey,Labour force survey,377,404,440,459,490,462,525,526,568,644,666,,
Dominican Republic,Total (Sex),15-64 (Age),Basic (Aggregate levels),National Labour Force Survey,Labour force survey,1244,1298,1260,1217,1267,1316,1290,1286,1367,1371,1359,,
Dominican Republic,Total (Sex),15-64 (Age),Intermediate (Aggregate levels),National Labour Force Survey,Labour force survey,739,780,808,823,887,987,1039,1072,1090,1126,1212,,
Dominican Republic,Total (Sex),15-64 (Age),Less than basic (Aggregate levels),National Labour Force Survey,Labour force survey,849,817,890,822,829,822,788,781,773,756,766,,
Dominican Republic,Total (Sex),15-64 (Age),Total (Aggregate levels),National Labour Force Survey,Labour force survey,3222,3314,3416,3332,3483,3592,3652,3681,3812,3907,4019,,
Dominican Republic,Total (Sex),15-64 (Age),Level not stated (Aggregate levels),National Labour Force Survey,Labour force survey,13,14,18,11,,6,10,,13,11,17,,
Dominican Republic,Total (Sex),15+ (Age),Advanced (Aggregate levels),National Labour Force Survey,Labour force survey,383,410,447,467,495,474,533,539,583,667,695,,
Dominican Republic,Total (Sex),15+ (Age),Basic (Aggregate levels),National Labour Force Survey,Labour force survey,1271,1325,1283,1241,1290,1349,1326,1329,1413,1426,1414,,
Dominican Republic,Total (Sex),15+ (Age),Intermediate (Aggregate levels),National Labour Force Survey,Labour force survey,744,786,814,829,892,996,1057,1087,1105,1139,1228,,
Dominican Republic,Total (Sex),15+ (Age),Less than basic (Aggregate levels),National Labour Force Survey,Labour force survey,960,924,992,934,939,935,914,897,900,887,885,,
Dominican Republic,Total (Sex),15+ (Age),Total (Aggregate levels),National Labour Force Survey,Labour force survey,3371,3460,3554,3482,3626,3760,3841,3869,4016,4129,4241,,
Dominican Republic,Total (Sex),15+ (Age),Level not stated (Aggregate levels),National Labour Force Survey,Labour force survey,13,15,18,12,10,6,10,17,15,11,19,,
Dominican Republic,Total (Sex),25+ (Age),Advanced (Aggregate levels),National Labour Force Survey,Labour force survey,360,384,421,446,468,455,508,515,554,622,663,,
Dominican Republic,Total (Sex),25+ (Age),Basic (Aggregate levels),National Labour Force Survey,Labour force survey,957,1012,971,950,996,1040,1061,1062,1134,1151,1145,,
Dominican Republic,Total (Sex),25+ (Age),Intermediate (Aggregate levels),National Labour Force Survey,Labour force survey,543,571,566,617,644,729,771,805,816,853,904,,
Dominican Republic,Total (Sex),25+ (Age),Less than basic (Aggregate levels),National Labour Force Survey,Labour force survey,851,826,885,846,852,850,836,819,827,817,825,,
Dominican Republic,Total (Sex),25+ (Age),Total (Aggregate levels),National Labour Force Survey,Labour force survey,2723,2807,2860,2870,2971,3078,3185,3217,3345,3453,3555,,
Dominican Republic,Total (Sex),25+ (Age),Level not stated (Aggregate levels),National Labour Force Survey,Labour force survey,12,13,17,11,10,6,9,17,15,10,17,,
Dominican Republic,Total (Sex),15-24 (Age),Advanced (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,24,30,22,
Dominican Republic,Total (Sex),15-24 (Age),Basic (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,281,276,280,
Dominican Republic,Total (Sex),15-24 (Age),Intermediate (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,313,344,348,
Dominican Republic,Total (Sex),15-24 (Age),Less than basic (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,67,65,65,
Dominican Republic,Total (Sex),15-24 (Age),Total (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,686,715,715,
Dominican Republic,Total (Sex),15-24 (Age),Level not stated (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Dominican Republic,Total (Sex),15-64 (Age),Advanced (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,512,530,519,
Dominican Republic,Total (Sex),15-64 (Age),Basic (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1420,1444,1495,
Dominican Republic,Total (Sex),15-64 (Age),Intermediate (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1197,1304,1349,
Dominican Republic,Total (Sex),15-64 (Age),Less than basic (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,770,756,774,
Dominican Republic,Total (Sex),15-64 (Age),Total (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,3903,4038,4141,
Dominican Republic,Total (Sex),15-64 (Age),Level not stated (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,3,4,4,
Dominican Republic,Total (Sex),15+ (Age),Advanced (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,524,546,548,
Dominican Republic,Total (Sex),15+ (Age),Basic (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1464,1498,1556,
Dominican Republic,Total (Sex),15+ (Age),Intermediate (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1212,1325,1373,
Dominican Republic,Total (Sex),15+ (Age),Less than basic (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,910,889,900,
Dominican Republic,Total (Sex),15+ (Age),Total (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,4114,4262,4383,
Dominican Republic,Total (Sex),15+ (Age),Level not stated (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,4,4,6,
Dominican Republic,Total (Sex),25+ (Age),Advanced (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,500,516,526,
Dominican Republic,Total (Sex),25+ (Age),Basic (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1182,1222,1276,
Dominican Republic,Total (Sex),25+ (Age),Intermediate (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,899,981,1025,
Dominican Republic,Total (Sex),25+ (Age),Less than basic (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,843,824,835,
Dominican Republic,Total (Sex),25+ (Age),Total (Aggregate levels),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,3428,3547,3668,
