,,,,,,,,,,,,,,,,,
Country,Sex,Age,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,Female (Sex),15-64 (Age),National Household Survey,Other household survey,617,659,689,678,721,,770,788,777,796,830,808,818
Costa Rica,Female (Sex),15+ (Age),National Household Survey,Other household survey,628,669,701,689,732,,786,800,793,816,852,828,841
Costa Rica,Female (Sex),25+ (Age),National Household Survey,Other household survey,507,530,564,572,608,,669,686,692,707,735,723,745
Croatia,Total (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,135,145,147,140,123,104,87,74,90,92,121,121,117
Croatia,Total (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,1526,1694,1725,1708,1649,1584,1528,1494,1542,1559,1567,1603,1630
Croatia,Total (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,1586,1734,1771,1757,1690,1625,1566,1524,1566,1585,1590,1625,1655
Croatia,Total (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,1451,1589,1623,1617,1567,1521,1479,1450,1475,1493,1469,1505,1538
Croatia,Male (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,79,87,92,85,73,61,51,44,53,55,70,71,71
Croatia,Male (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,839,951,966,936,899,872,835,803,836,840,845,868,879
Croatia,Male (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,868,970,988,962,920,894,856,821,849,855,860,881,894
Croatia,Male (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,789,883,896,876,848,832,805,777,795,800,790,810,823
Croatia,Female (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,56,58,55,55,51,42,36,30,37,37,51,49,45
Croatia,Female (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,687,743,759,772,749,711,693,690,706,719,721,735,751
Croatia,Female (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,718,764,783,795,770,731,710,703,717,730,730,744,761
Croatia,Female (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,662,706,727,740,719,689,674,673,680,693,679,695,716
Cuba,Total (Sex),15-24 (Age),National Employment Survey,Labour force survey,,,,642,617,,,,,,,,
Cuba,Total (Sex),15-64 (Age),National Employment Survey,Labour force survey,,,,4982,4897,,,,,,,,
Cuba,Total (Sex),15+ (Age),National Employment Survey,Labour force survey,4755,4868,4948,5072,4985,5010,,4919,,,,,
Cuba,Total (Sex),25+ (Age),National Employment Survey,Labour force survey,,,,4430,4368,,,,,,,,
Cuba,Male (Sex),15-24 (Age),National Employment Survey,Labour force survey,,,,372,365,,,,,,,,
Cuba,Male (Sex),15-64 (Age),National Employment Survey,Labour force survey,,,,3063,3013,,,,,,,,
Cuba,Male (Sex),15+ (Age),National Employment Survey,Labour force survey,2986,3016,3073,3138,3084,3134,,3080,,,,,
Cuba,Male (Sex),25+ (Age),National Employment Survey,Labour force survey,,,,2766,2719,,,,,,,,
Cuba,Female (Sex),15-24 (Age),National Employment Survey,Labour force survey,,,,270,252,,,,,,,,
Cuba,Female (Sex),15-64 (Age),National Employment Survey,Labour force survey,,,,1919,1884,,,,,,,,
Cuba,Female (Sex),15+ (Age),National Employment Survey,Labour force survey,1769,1852,1875,1934,1900,1876,,1839,,,,,
Cuba,Female (Sex),25+ (Age),National Employment Survey,Labour force survey,,,,1664,1648,,,,,,,,
Cuba,Total (Sex),15+ (Age),Population Census,Population census,,,,,,,4902,,,,,,
Cuba,Male (Sex),15+ (Age),Population Census,Population census,,,,,,,3100,,,,,,
Cuba,Female (Sex),15+ (Age),Population Census,Population census,,,,,,,1803,,,,,,
Curaçao,Total (Sex),15-24 (Age),Labour force survey,Labour force survey,,,,,,4,,4,3,4,,,
Curaçao,Total (Sex),15-64 (Age),Labour force survey,Labour force survey,,,,,,,,,58,60,,,
Curaçao,Total (Sex),15+ (Age),Labour force survey,Labour force survey,,,,,,62,,63,59,62,,,
Curaçao,Total (Sex),25+ (Age),Labour force survey,Labour force survey,,,,,,58,,59,56,58,,,
Cyprus,Total (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,35,35,35,35,35,31,30,25,27,25,25,27,30
Cyprus,Total (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,348,368,371,371,382,386,375,357,355,350,354,370,390
Cyprus,Total (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,357,378,383,383,395,398,385,365,363,358,363,380,401
Cyprus,Total (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,322,343,347,348,360,367,355,340,336,333,338,353,371
Cyprus,Male (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,18,17,17,17,17,16,15,12,13,11,12,11,13
Cyprus,Male (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,194,202,203,196,199,200,194,184,180,178,182,191,201
Cyprus,Male (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,200,209,212,205,209,209,202,190,185,184,188,198,210
Cyprus,Male (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,182,192,195,187,192,193,186,178,172,172,176,186,197
Cyprus,Female (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,17,18,18,18,18,16,15,13,14,14,13,15,17
Cyprus,Female (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,155,166,168,175,183,186,181,173,176,172,172,179,188
Cyprus,Female (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,157,168,171,178,186,189,184,175,178,175,175,182,191
Cyprus,Female (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,140,150,152,161,168,173,169,162,163,161,161,167,173
Czech Republic,Total (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,373,382,377,353,327,303,301,294,300,303,295,291,277
Czech Republic,Total (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,4769,4856,4934,4857,4810,4796,4810,4846,4883,4934,5016,5094,5147
Czech Republic,Total (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,4828,4922,5003,4934,4885,4873,4890,4937,4974,5042,5139,5222,5294
Czech Republic,Total (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,4455,4540,4625,4581,4558,4570,4589,4644,4675,4739,4844,4930,5017
Czech Republic,Male (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,217,226,224,213,197,184,178,176,183,181,178,173,161
Czech Republic,Male (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,2704,2764,2820,2777,2753,2733,2732,2742,2764,2775,2806,2843,2862
Czech Republic,Male (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,2742,2806,2863,2824,2798,2778,2778,2794,2817,2837,2877,2916,2947
Czech Republic,Male (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,2525,2580,2640,2611,2601,2594,2600,2618,2634,2656,2698,2743,2785
Czech Republic,Female (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,156,156,153,140,130,119,122,118,117,122,117,118,116
Czech Republic,Female (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,2065,2092,2114,2081,2057,2064,2079,2104,2120,2159,2210,2251,2285
Czech Republic,Female (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,2086,2116,2139,2111,2087,2095,2111,2143,2157,2205,2262,2306,2347
Czech Republic,Female (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,1930,1960,1986,1970,1957,1976,1989,2025,2041,2083,2145,2188,2232
Côte d'Ivoire,Total (Sex),15-24 (Age),National survey on the employment situation,Labour force survey,,,,,,,1323,1716,,,1473,,
Côte d'Ivoire,Total (Sex),15-64 (Age),National survey on the employment situation,Labour force survey,,,,,,,4519,8707,,,8225,,
Côte d'Ivoire,Total (Sex),15+ (Age),National survey on the employment situation,Labour force survey,,,,,,,4642,9006,,,8484,,
Côte d'Ivoire,Total (Sex),25+ (Age),National survey on the employment situation,Labour force survey,,,,,,,3320,7290,,,7011,,
Côte d'Ivoire,Male (Sex),15-24 (Age),National survey on the employment situation,Labour force survey,,,,,,,621,835,,,776,,
Côte d'Ivoire,Male (Sex),15-64 (Age),National survey on the employment situation,Labour force survey,,,,,,,2406,4774,,,4886,,
Côte d'Ivoire,Male (Sex),15+ (Age),National survey on the employment situation,Labour force survey,,,,,,,2483,4964,,,5060,,
Côte d'Ivoire,Male (Sex),25+ (Age),National survey on the employment situation,Labour force survey,,,,,,,1862,4129,,,4284,,
Côte d'Ivoire,Female (Sex),15-24 (Age),National survey on the employment situation,Labour force survey,,,,,,,702,881,,,697,,
Côte d'Ivoire,Female (Sex),15-64 (Age),National survey on the employment situation,Labour force survey,,,,,,,2113,3933,,,3339,,
Côte d'Ivoire,Female (Sex),15+ (Age),National survey on the employment situation,Labour force survey,,,,,,,2159,4042,,,3424,,
Côte d'Ivoire,Female (Sex),25+ (Age),National survey on the employment situation,Labour force survey,,,,,,,1458,3161,,,2727,,
Denmark,Total (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,395,399,421,411,391,396,385,381,385,400,424,411,415
Denmark,Total (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,2762,2759,2807,2724,2654,2643,2621,2622,2640,2678,2748,2734,2785
Denmark,Total (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,2805,2804,2853,2770,2706,2703,2689,2688,2714,2752,2840,2816,2868
Denmark,Total (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,2411,2404,2432,2359,2315,2307,2304,2307,2329,2352,2416,2406,2453
Denmark,Male (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,202,208,218,209,195,199,195,189,193,201,210,206,207
Denmark,Male (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,1464,1460,1484,1421,1378,1381,1367,1365,1384,1408,1440,1430,1457
Denmark,Male (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,1496,1492,1517,1454,1415,1421,1413,1410,1433,1461,1503,1487,1515
Denmark,Male (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,1294,1284,1299,1246,1220,1222,1218,1221,1240,1260,1293,1281,1308
Denmark,Female (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,193,191,203,203,196,197,190,191,192,199,214,205,208
Denmark,Female (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,1297,1299,1323,1303,1276,1262,1254,1257,1256,1270,1307,1304,1329
Denmark,Female (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,1309,1312,1336,1316,1292,1282,1276,1278,1282,1291,1336,1329,1353
Denmark,Female (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,1117,1120,1133,1114,1095,1084,1086,1086,1089,1092,1123,1125,1145
Dominican Republic,Total (Sex),15-24 (Age),National Labour Force Survey,Labour force survey,647,652,694,612,655,682,656,652,671,676,686,,
Dominican Republic,Total (Sex),15-64 (Age),National Labour Force Survey,Labour force survey,3222,3314,3416,3332,3483,3592,3652,3681,3812,3907,4019,,
Dominican Republic,Total (Sex),15+ (Age),National Labour Force Survey,Labour force survey,3371,3460,3554,3482,3626,3760,3841,3869,4016,4129,4241,,
Dominican Republic,Total (Sex),25+ (Age),National Labour Force Survey,Labour force survey,2723,2807,2860,2870,2971,3078,3185,3217,3345,3453,3555,,
Dominican Republic,Total (Sex),15-24 (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,686,715,715,
Dominican Republic,Total (Sex),15-64 (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,3903,4038,4141,
Dominican Republic,Total (Sex),15+ (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,4114,4262,4383,
Dominican Republic,Total (Sex),25+ (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,3428,3547,3668,
Dominican Republic,Male (Sex),15-24 (Age),National Labour Force Survey,Labour force survey,444,447,468,424,437,459,432,457,457,465,455,,
Dominican Republic,Male (Sex),15-64 (Age),National Labour Force Survey,Labour force survey,2073,2132,2163,2148,2181,2230,2252,2281,2350,2388,2430,,
Dominican Republic,Male (Sex),15+ (Age),National Labour Force Survey,Labour force survey,2193,2250,2270,2269,2298,2357,2392,2421,2503,2549,2597,,
Dominican Republic,Male (Sex),25+ (Age),National Labour Force Survey,Labour force survey,1750,1803,1802,1845,1861,1898,1960,1965,2047,2084,2142,,
Dominican Republic,Male (Sex),15-24 (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,465,485,472,
Dominican Republic,Male (Sex),15-64 (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,2373,2447,2477,
Dominican Republic,Male (Sex),15+ (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,2524,2599,2642,
Dominican Republic,Male (Sex),25+ (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,2059,2114,2170,
Dominican Republic,Female (Sex),15-24 (Age),National Labour Force Survey,Labour force survey,204,206,226,187,218,223,225,195,214,211,231,,
Dominican Republic,Female (Sex),15-64 (Age),National Labour Force Survey,Labour force survey,1149,1183,1253,1184,1301,1361,1400,1400,1462,1519,1589,,
Dominican Republic,Female (Sex),15+ (Age),National Labour Force Survey,Labour force survey,1177,1210,1284,1213,1328,1403,1449,1448,1512,1580,1644,,
Dominican Republic,Female (Sex),25+ (Age),National Labour Force Survey,Labour force survey,974,1004,1058,1026,1110,1180,1224,1253,1298,1369,1412,,
Dominican Republic,Female (Sex),15-24 (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,221,230,243,
Dominican Republic,Female (Sex),15-64 (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1530,1591,1664,
Dominican Republic,Female (Sex),15+ (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1590,1663,1740,
Dominican Republic,Female (Sex),25+ (Age),Continuous National Labour Force Survey,Labour force survey,,,,,,,,,,1369,1433,1498,
Dominican Republic,Total (Sex),15+ (Age),Household or labour force survey,Other source,3359,3501,3622,3566,,,,,,,,,
Dominican Republic,Male (Sex),15+ (Age),Household or labour force survey,Other source,2202,2297,2331,2350,,,,,,,,,
Dominican Republic,Female (Sex),15+ (Age),Household or labour force survey,Other source,1157,1204,1291,1217,,,,,,,,,
Ecuador,Total (Sex),15-24 (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,1302,1195,1210,1184,1095,1015,1051,1063,1078,1150,1206,1258,1236
Ecuador,Total (Sex),15-64 (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,5616,5605,5688,5638,5656,5726,5934,6166,6337,6707,6994,7254,7200
Ecuador,Total (Sex),15+ (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,6057,6018,6125,6125,6144,6264,6506,6695,6784,7151,7482,7766,7779
Ecuador,Total (Sex),25+ (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,4755,4823,4915,4941,5049,5249,5456,5632,5707,6001,6276,6508,6543
Ecuador,Male (Sex),15-24 (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,840,750,772,752,713,669,691,700,719,732,754,787,793
Ecuador,Male (Sex),15-64 (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,3387,3356,3399,3377,3396,3446,3550,3690,3829,3967,4051,4180,4183
Ecuador,Male (Sex),15+ (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,3677,3631,3688,3700,3728,3804,3930,4043,4124,4251,4351,4495,4544
Ecuador,Male (Sex),25+ (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,2837,2882,2917,2948,3015,3135,3239,3344,3405,3519,3597,3708,3752
Ecuador,Female (Sex),15-24 (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,462,445,438,432,382,346,360,363,358,418,452,471,443
Ecuador,Female (Sex),15-64 (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,2228,2249,2290,2261,2260,2280,2383,2477,2508,2740,2943,3075,3017
Ecuador,Female (Sex),15+ (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,2380,2387,2437,2425,2416,2460,2577,2652,2660,2900,3132,3271,3235
Ecuador,Female (Sex),25+ (Age),"National Survey on Employment, Unemployment and Underemployment",Labour force survey,1918,1941,1999,1993,2034,2114,2217,2289,2302,2482,2679,2801,2791
Egypt,Total (Sex),15-24 (Age),Labour force sample survey,Labour force survey,,,4368,4357,4204,3775,3474,3609,3640,4395,4454,4512,
Egypt,Total (Sex),15-64 (Age),Labour force sample survey,Labour force survey,,,22155,22564,23403,22942,23089,23500,23852,24403,24902,25585,
Egypt,Total (Sex),15+ (Age),Labour force sample survey,Labour force survey,20444,21724,22507,22975,23829,23346,23564,23975,24331,24779,25371,26051,
Egypt,Total (Sex),25+ (Age),Labour force sample survey,Labour force survey,,,18139,18618,19625,19571,20090,20366,20692,20384,20917,21539,
Egypt,Male (Sex),15-24 (Age),Labour force sample survey,Labour force survey,,,3737,3729,3541,3190,2957,2993,2986,3146,3202,3300,
Egypt,Male (Sex),15-64 (Age),Labour force sample survey,Labour force survey,,,17721,18028,18778,18350,18473,18661,18850,19350,19590,20227,
Egypt,Male (Sex),15+ (Age),Labour force sample survey,Labour force survey,16559,17090,18042,18397,19153,18719,18903,19083,19296,19694,20009,20648,
Egypt,Male (Sex),25+ (Age),Labour force sample survey,Labour force survey,,,14304,14668,15612,15529,15945,16091,16310,16547,16807,17348,
Egypt,Female (Sex),15-24 (Age),Labour force sample survey,Labour force survey,,,631,628,663,585,516,616,653,1249,1253,1213,
Egypt,Female (Sex),15-64 (Age),Labour force sample survey,Labour force survey,,,4434,4535,4625,4592,4616,4839,5002,5053,5312,5358,
Egypt,Female (Sex),15+ (Age),Labour force sample survey,Labour force survey,3884,4634,4466,4578,4676,4627,4662,4892,5035,5085,5362,5404,
Egypt,Female (Sex),25+ (Age),Labour force sample survey,Labour force survey,,,3835,3950,4013,4042,4145,4276,4382,3836,4110,4191,
El Salvador,Total (Sex),15+ (Age),Labour force survey,Labour force survey,2337,2419,,,,,,,,,,,
El Salvador,Male (Sex),15+ (Age),Labour force survey,Labour force survey,1342,1402,,,,,,,,,,,
El Salvador,Female (Sex),15+ (Age),Labour force survey,Labour force survey,995,1017,,,,,,,,,,,
El Salvador,Total (Sex),15-24 (Age),Multi-purpose household survey,Other household survey,,,,469,475,502,507,513,501,500,506,508,
El Salvador,Total (Sex),15-64 (Age),Multi-purpose household survey,Other household survey,,,,2225,2257,2326,2405,2477,2487,2497,2557,2585,
El Salvador,Total (Sex),15+ (Age),Multi-purpose household survey,Other household survey,2686,2174,2349,2365,2398,2466,2559,2630,2644,2667,2727,2752,
El Salvador,Total (Sex),25+ (Age),Multi-purpose household survey,Other household survey,,,,1896,1924,1965,2052,2116,2143,2167,2221,2244,
El Salvador,Male (Sex),15-24 (Age),Multi-purpose household survey,Other household survey,,,,302,310,334,332,336,322,329,324,329,
El Salvador,Male (Sex),15-64 (Age),Multi-purpose household survey,Other household survey,,,,1270,1296,1347,1388,1409,1420,1446,1470,1505,
El Salvador,Male (Sex),15+ (Age),Multi-purpose household survey,Other household survey,1542,1245,1357,1361,1387,1441,1491,1511,1521,1560,1579,1610,
El Salvador,Male (Sex),25+ (Age),Multi-purpose household survey,Other household survey,,,,1058,1077,1107,1159,1175,1200,1231,1255,1281,
El Salvador,Female (Sex),15-24 (Age),Multi-purpose household survey,Other household survey,,,,166,165,168,176,177,179,171,182,179,
El Salvador,Female (Sex),15-64 (Age),Multi-purpose household survey,Other household survey,,,,955,961,979,1017,1068,1067,1050,1087,1080,
El Salvador,Female (Sex),15+ (Age),Multi-purpose household survey,Other household survey,1144,929,992,1004,1012,1026,1069,1118,1123,1107,1148,1142,
El Salvador,Female (Sex),25+ (Age),Multi-purpose household survey,Other household survey,,,,838,847,858,893,941,943,936,966,963,
Estonia,Total (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,62,67,69,52,45,53,52,50,48,49,49,52,52
Estonia,Total (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,626,632,632,573,548,582,591,597,600,613,612,626,630
Estonia,Total (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,652,658,656,594,568,603,615,621,625,641,645,659,665
Estonia,Total (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,589,591,587,542,523,550,563,572,577,592,595,607,613
Estonia,Male (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,37,38,38,28,24,29,28,26,24,27,26,27,28
Estonia,Male (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,317,324,323,282,269,295,300,305,309,317,317,324,328
Estonia,Male (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,330,335,334,291,278,303,309,315,320,328,329,338,342
Estonia,Male (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,293,297,297,263,254,274,282,288,296,301,304,310,315
Estonia,Female (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,25,28,31,24,21,24,24,23,24,22,24,24,25
Estonia,Female (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,309,308,309,292,279,287,291,292,291,296,295,302,302
Estonia,Female (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,322,323,322,303,290,300,306,307,305,313,315,321,322
Estonia,Female (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,297,294,291,278,269,276,281,283,281,291,292,297,298
Eswatini,Total (Sex),15-24 (Age),Labour force survey,Labour force survey,,,,,,,,,,,32,,
Eswatini,Total (Sex),15-64 (Age),Labour force survey,Labour force survey,,,,,,,,,,,282,,
Eswatini,Total (Sex),15+ (Age),Labour force survey,Labour force survey,,222771,,,,,,,,,292,,
Eswatini,Total (Sex),25+ (Age),Labour force survey,Labour force survey,,,,,,,,,,,260,,
Eswatini,Male (Sex),15-24 (Age),Labour force survey,Labour force survey,,,,,,,,,,,17,,
Eswatini,Male (Sex),15-64 (Age),Labour force survey,Labour force survey,,,,,,,,,,,145,,
Eswatini,Male (Sex),15+ (Age),Labour force survey,Labour force survey,,124308,,,,,,,,,150,,
Eswatini,Male (Sex),25+ (Age),Labour force survey,Labour force survey,,,,,,,,,,,132,,
Eswatini,Female (Sex),15-24 (Age),Labour force survey,Labour force survey,,,,,,,,,,,15,,
Eswatini,Female (Sex),15-64 (Age),Labour force survey,Labour force survey,,,,,,,,,,,136,,
Eswatini,Female (Sex),15+ (Age),Labour force survey,Labour force survey,,98463,,,,,,,,,142,,
Eswatini,Female (Sex),25+ (Age),Labour force survey,Labour force survey,,,,,,,,,,,127,,
Ethiopia,Total (Sex),15-24 (Age),National Labor Force Survey,Labour force survey,,,,,,,,10803,,,,,
Ethiopia,Total (Sex),15-64 (Age),National Labor Force Survey,Labour force survey,,,,,,,,34030,,,,,
Ethiopia,Total (Sex),15+ (Age),National Labor Force Survey,Labour force survey,,,,,,,,35498,,,,,
Ethiopia,Total (Sex),25+ (Age),National Labor Force Survey,Labour force survey,,,,,,,,24695,,,,,
Ethiopia,Male (Sex),15-24 (Age),National Labor Force Survey,Labour force survey,,,,,,,,5652,,,,,
Ethiopia,Male (Sex),15-64 (Age),National Labor Force Survey,Labour force survey,,,,,,,,18087,,,,,
Ethiopia,Male (Sex),15+ (Age),National Labor Force Survey,Labour force survey,,,,,,,,19137,,,,,
Ethiopia,Male (Sex),25+ (Age),National Labor Force Survey,Labour force survey,,,,,,,,13485,,,,,
Ethiopia,Female (Sex),15-24 (Age),National Labor Force Survey,Labour force survey,,,,,,,,5152,,,,,
Ethiopia,Female (Sex),15-64 (Age),National Labor Force Survey,Labour force survey,,,,,,,,15943,,,,,
Ethiopia,Female (Sex),15+ (Age),National Labor Force Survey,Labour force survey,,,,,,,,16361,,,,,
Ethiopia,Female (Sex),25+ (Age),National Labor Force Survey,Labour force survey,,,,,,,,11210,,,,,
Faeroe Islands,Total (Sex),15-24 (Age),Labour force survey,Labour force survey,5,5,5,4,4,4,5,4,,,,,
Faeroe Islands,Total (Sex),15-64 (Age),Labour force survey,Labour force survey,28,27,27,26,25,24,26,26,,,,,
Faeroe Islands,Total (Sex),15+ (Age),Labour force survey,Labour force survey,29,28,29,27,26,26,28,27,,,,,
Faeroe Islands,Total (Sex),25+ (Age),Labour force survey,Labour force survey,24,23,24,23,22,22,23,23,,,,,
Faeroe Islands,Male (Sex),15-24 (Age),Labour force survey,Labour force survey,3,3,3,2,2,2,3,2,,,,,
Faeroe Islands,Male (Sex),15-64 (Age),Labour force survey,Labour force survey,15,15,15,14,14,13,14,14,,,,,
Faeroe Islands,Male (Sex),15+ (Age),Labour force survey,Labour force survey,16,16,16,15,15,14,15,15,,,,,
Faeroe Islands,Male (Sex),25+ (Age),Labour force survey,Labour force survey,13,13,13,13,13,12,12,13,,,,,
Faeroe Islands,Female (Sex),15-24 (Age),Labour force survey,Labour force survey,2,3,3,2,2,2,2,2,,,,,
Faeroe Islands,Female (Sex),15-64 (Age),Labour force survey,Labour force survey,12,12,13,12,11,11,12,12,,,,,
Faeroe Islands,Female (Sex),15+ (Age),Labour force survey,Labour force survey,13,13,13,13,12,12,13,12,,,,,
Faeroe Islands,Female (Sex),25+ (Age),Labour force survey,Labour force survey,10,10,11,10,10,10,11,10,,,,,
Falkland Islands (Malvinas),Total (Sex),15-24 (Age),Population census,Population census,,,,,,,0,,,,0,,
Falkland Islands (Malvinas),Total (Sex),15-64 (Age),Population census,Population census,,,,,,,2,,,,2,,
Falkland Islands (Malvinas),Total (Sex),15+ (Age),Population census,Population census,,,,,,,2,,,,2,,
Falkland Islands (Malvinas),Total (Sex),25+ (Age),Population census,Population census,,,,,,,2,,,,2,,
Falkland Islands (Malvinas),Male (Sex),15-24 (Age),Population census,Population census,,,,,,,0,,,,0,,
Falkland Islands (Malvinas),Male (Sex),15-64 (Age),Population census,Population census,,,,,,,1,,,,1,,
Falkland Islands (Malvinas),Male (Sex),15+ (Age),Population census,Population census,,,,,,,1,,,,1,,
Falkland Islands (Malvinas),Male (Sex),25+ (Age),Population census,Population census,,,,,,,1,,,,1,,
Falkland Islands (Malvinas),Female (Sex),15-24 (Age),Population census,Population census,,,,,,,0,,,,0,,
Falkland Islands (Malvinas),Female (Sex),15-64 (Age),Population census,Population census,,,,,,,1,,,,1,,
Falkland Islands (Malvinas),Female (Sex),15+ (Age),Population census,Population census,,,,,,,1,,,,1,,
Falkland Islands (Malvinas),Female (Sex),25+ (Age),Population census,Population census,,,,,,,1,,,,1,,
Fiji,Total (Sex),15-24 (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,48,,,49,,46,,
Fiji,Total (Sex),15-64 (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,338,,,333,,315,,
Fiji,Total (Sex),15+ (Age),"Employment, Unemployment Survey",Labour force survey,,,301,303,306,353,308,309,344,,327,,
Fiji,Total (Sex),25+ (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,305,,,295,,281,,
Fiji,Male (Sex),15-24 (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,33,,,33,,32,,
Fiji,Male (Sex),15-64 (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,219,,,221,,209,,
Fiji,Male (Sex),15+ (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,229,,,228,,218,,
Fiji,Male (Sex),25+ (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,196,,,195,,186,,
Fiji,Female (Sex),15-24 (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,15,,,16,,14,,
Fiji,Female (Sex),15-64 (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,119,,,112,,106,,
Fiji,Female (Sex),15+ (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,124,,,116,,109,,
Fiji,Female (Sex),25+ (Age),"Employment, Unemployment Survey",Labour force survey,,,,,,109,,,100,,95,,
Finland,Total (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,267,285,285,253,249,258,268,265,262,253,258,260,265
